grp,threshold_mm,lead_days,FAR,FAR_lo,FAR_hi,n_points
8_27,2.5,5,0.5108910891089109,0.4695579305319407,0.549894685907836,4
8_28,2.5,5,0.5110258868648131,0.472736782842231,0.5524862233405439,4
8_29,2.5,5,0.5468509984639017,0.4953702825280631,0.5949442435201928,2
8_30,2.5,5,0.4024216524216524,0.3722744972829489,0.4376661617722131,3
8_31,2.5,5,0.4746317512274959,0.43591663946755976,0.5177710529740986,3
9_23,2.5,5,0.55,0.43995890410958904,0.6588423028785982,2
9_24,2.5,5,0.6240208877284595,0.5736842105263158,0.6748816768086544,4
9_25,2.5,5,0.5613540197461213,0.5147204139865551,0.6093305849125364,4
9_26,2.5,5,0.49744114636642783,0.46198879118815356,0.5383823823823825,4
9_27,2.5,5,0.557504873294347,0.49844968132338313,0.6189268879904102,2
9_28,2.5,5,0.6016483516483516,0.5382425815153647,0.6550823728173991,1
9_30,2.5,5,0.39293598233995586,0.3390056818181818,0.4480332987002404,1
