threshold_mm,lead_days,alpha,V,V_lo,V_hi,base_rate
1.0,7,0.54,-0.06532048143089095,,,0.2359183927156331
1.0,7,0.56,-0.13920173878680092,,,0.2359183927156331
1.0,7,0.58,-0.22011930636708324,,,0.2359183927156331
1.0,7,0.6,-0.30912863070539387,,,0.2359183927156331
1.0,7,0.62,-0.40750735760563184,,,0.2359183927156331
1.0,7,0.64,-0.5168170541614526,,,0.2359183927156331
1.0,7,0.66,-0.6389867150179572,,,0.2359183927156331
1.0,7,0.68,-0.776427583481526,,,0.2359183927156331
1.0,7,0.7,-0.9321939010735687,,,0.2359183927156331
1.0,7,0.72,-1.1102125497501898,,,0.2359183927156331
1.0,7,0.74,-1.315618682838599,,,0.2359183927156331
1.0,7,0.76,-1.5552591714417443,,,0.2359183927156331
1.0,7,0.78,-1.8384706579727323,,,0.2359183927156331
1.0,7,0.8,-2.1783244418099206,,,0.2359183927156331
1.0,7,0.82,-2.5937012887220345,,,0.2359183927156331
1.0,7,0.84,-3.112922347362181,,,0.2359183927156331
1.0,7,0.86,-3.780492279899512,,,0.2359183927156331
1.0,7,0.88,-4.670585523282617,,,0.2359183927156331
1.0,7,0.9,-5.916716064018972,,,0.2359183927156331
1.0,7,0.92,-7.785911875123493,,,0.2359183927156331
1.0,7,0.94,-10.901238226964352,,,0.2359183927156331
1.0,7,0.96,-17.131890930646115,,,0.2359183927156331
1.0,7,0.98,-35.82384904169125,,,0.2359183927156331
2.5,1,0.1,0.4198270507859156,0.33485497661314967,0.4916021303435673,0.18691828394735616
2.5,1,0.3,0.5106434776412746,0.43746357209400133,0.5556936122915754,0.18691828394735616
2.5,1,0.02,-1.4862452821174337,,,0.18691828394735616
2.5,1,0.04,-0.2949500740528402,,,0.18691828394735616
2.5,1,0.06,0.10214832863535742,,,0.18691828394735616
2.5,1,0.08,0.3006975299794563,,,0.18691828394735616
2.5,1,0.12,0.49924673132355524,,,0.18691828394735616
2.5,1,0.14,0.5559750745647264,,,0.18691828394735616
2.5,1,0.16,0.5985213319956046,,,0.18691828394735616
2.5,1,0.18,0.6316128655529544,,,0.18691828394735616
2.5,1,0.2,0.628174487717694,,,0.18691828394735616
2.5,1,0.22,0.6070791782167981,,,0.18691828394735616
2.5,1,0.24,0.5848735892684869,,,0.18691828394735616
2.5,1,0.26,0.5614676982148614,,,0.18691828394735616
2.5,1,0.28,0.536761479880479,,,0.18691828394735616
2.5,1,0.32,0.4829891223291762,,,0.18691828394735616
2.5,1,0.34,0.4536587454830107,,,0.18691828394735616
2.5,1,0.36,0.4224952200839603,,,0.18691828394735616
